%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1635234555168245435,603,1635234555167964028,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555200124681,604,1635234555199787075,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555235207501,605,1635234555234922520,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555268584328,606,1635234555268322052,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555300730370,607,1635234555300312395,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555334579509,608,1635234555334346084,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555367847748,609,1635234555367635996,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555401302727,610,1635234555401102423,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555435309347,611,1635234555435084619,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555468591579,612,1635234555468396942,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555502355983,613,1635234555502109580,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555536844679,614,1635234555536597318,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555570038236,615,1635234555569872039,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555603356448,616,1635234555602075399,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555636334198,617,1635234555636119312,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555670979866,618,1635234555670355830,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555714316017,619,1635234555702648231,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555737644855,620,1635234555737415337,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555771174284,621,1635234555770911844,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555803844021,622,1635234555803169127,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555837256691,623,1635234555837020267,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555870348408,624,1635234555870171449,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555908749389,625,1635234555907415512,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555938680182,626,1635234555938403758,pacmod,0,0,0,0,0,0,0,1,1,1
1635234555971904547,627,1635234555971705226,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556006105244,628,1635234556004004645,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556039153169,629,1635234556038926394,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556072635996,630,1635234556072435353,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556107335652,631,1635234556104619232,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556139369165,632,1635234556139193873,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556173083160,633,1635234556172772061,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556206236253,634,1635234556205398977,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556239215004,635,1635234556238991052,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556272590936,636,1635234556272318601,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556305860560,637,1635234556305541000,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556339505309,638,1635234556339289398,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556373010744,639,1635234556372793075,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556406960035,640,1635234556406049809,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556439982147,641,1635234556439749134,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556474244929,642,1635234556474028432,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556507220890,643,1635234556506432329,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556541544761,644,1635234556541225291,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556574064263,645,1635234556573550270,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556607317956,646,1635234556606896369,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556640943876,647,1635234556640709513,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556675453821,648,1635234556674920246,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556712353681,649,1635234556708589364,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556741318858,650,1635234556741106715,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556774895173,651,1635234556774627992,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556809842978,652,1635234556807931949,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556843621418,653,1635234556842716142,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556876466113,654,1635234556876134805,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556914852072,655,1635234556909311988,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556942646217,656,1635234556942220058,pacmod,0,0,0,0,0,0,0,1,1,1
1635234556976128906,657,1635234556975504193,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557014596388,658,1635234557008973372,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557043983051,659,1635234557042911422,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557076670398,660,1635234557076169552,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557110821092,661,1635234557109348117,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557144168310,662,1635234557144041243,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557176461906,663,1635234557176327775,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557209684002,664,1635234557209552786,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557243684079,665,1635234557243546667,pacmod,0,0,0,0,0,0,0,1,1,1
1635234557278233664,666,1635234557278013578,pacmod,0,0,0,0,0,0,0,1,1,1
