%time,field.header.seq,field.header.stamp,field.header.frame_id,field.vehicle_speed,field.vehicle_speed_valid
1635234559993463665,747,1635234559993134297,pacmod,7.07,1
1635234560026528939,748,1635234560025867212,pacmod,7.14,1
1635234560060264605,749,1635234560059967513,pacmod,7.04,1
1635234560093409536,750,1635234560093161666,pacmod,7.13,1
1635234560126255213,751,1635234560125968260,pacmod,7.11,1
1635234560160911533,752,1635234560160617878,pacmod,7.06,1
1635234560194011143,753,1635234560193645988,pacmod,7.09,1
1635234560226609423,754,1635234560226284134,pacmod,7.17,1
1635234560261179265,755,1635234560260769694,pacmod,7.13,1
1635234560294230632,756,1635234560293950491,pacmod,7.07,1
1635234560327130416,757,1635234560326765173,pacmod,7.06,1
1635234560361533901,758,1635234560361159600,pacmod,7.07,1
1635234560396492747,759,1635234560393288946,pacmod,7.1,1
1635234560427381926,760,1635234560427093689,pacmod,7.08,1
1635234560461110183,761,1635234560460633339,pacmod,7.05,1
1635234560495100120,762,1635234560494763314,pacmod,7.05,1
1635234560528159185,763,1635234560527708611,pacmod,7.04,1
1635234560562429470,764,1635234560562122084,pacmod,7.05,1
1635234560596902000,765,1635234560595400445,pacmod,7.2,1
1635234560628440684,766,1635234560628091212,pacmod,7.08,1
1635234560663394349,767,1635234560662644768,pacmod,7.21,1
1635234560696073072,768,1635234560695807128,pacmod,7.05,1
1635234560729677466,769,1635234560728559950,pacmod,7.1,1
1635234560762055748,770,1635234560761824967,pacmod,7.12,1
1635234560795445906,771,1635234560795134577,pacmod,7.11,1
1635234560829058177,772,1635234560828823751,pacmod,7.08,1
1635234560863631984,773,1635234560863394650,pacmod,7.11,1
1635234560897023339,774,1635234560896756441,pacmod,7.1,1
1635234560929839518,775,1635234560929600100,pacmod,7.07,1
1635234560963883752,776,1635234560963582208,pacmod,7.12,1
1635234560997408267,777,1635234560997138538,pacmod,7.0,1
1635234561030181773,778,1635234561029872424,pacmod,7.02,1
1635234561064605729,779,1635234561064358374,pacmod,7.07,1
1635234561098205470,780,1635234561097695211,pacmod,7.01,1
1635234561130506660,781,1635234561130175357,pacmod,7.06,1
1635234561164000173,782,1635234561163691846,pacmod,7.02,1
1635234561198173518,783,1635234561197904367,pacmod,7.06,1
1635234561230839567,784,1635234561230609608,pacmod,7.06,1
1635234561265352131,785,1635234561265113665,pacmod,6.99,1
