%time,field.data
1635234566012786620,0
1635234566042037282,0
1635234566076059029,0
1635234566109088431,0
1635234566143267546,0
1635234566177253063,0
1635234566214190496,0
1635234566243144375,0
1635234566277603751,0
1635234566315701724,0
1635234566343998107,0
1635234566376881079,0
1635234566411639154,0
1635234566444100082,0
1635234566477467885,0
1635234566511930600,0
1635234566544674605,0
1635234566577778695,0
1635234566612201493,0
1635234566644610098,0
1635234566678102039,0
1635234566718679281,0
1635234566745055949,0
1635234566780123659,0
1635234566812737544,0
1635234566845796302,0
1635234566879906200,0
1635234566918521218,0
1635234566946074399,0
1635234566980359812,0
1635234567013285703,0
1635234567046413375,0
1635234567080951262,0
1635234567113120852,0
1635234567146741935,0
1635234567181079068,0
1635234567215097352,0
1635234567247000919,0
1635234567280527533,0
1635234567314833773,0
1635234567347518645,0
1635234567381833041,0
1635234567415256910,0
1635234567448223081,0
1635234567482290992,0
1635234567515545553,0
1635234567548272931,0
1635234567582646113,0
1635234567615432153,0
1635234567649066896,0
1635234567684036695,0
1635234567716774592,0
1635234567749478283,0
1635234567783159050,0
1635234567817246083,0
1635234567850048820,0
1635234567883386247,0
1635234567916463588,0
1635234567950637478,0
1635234567984658492,0
1635234568016958126,0
1635234568050979526,0
1635234568084146511,0
1635234568118474842,0
1635234568151182995,0
1635234568184718867,0
1635234568219050700,0
1635234568251805207,0
1635234568286019492,0
1635234568319280911,0
1635234568352069680,0
1635234568386561642,0
1635234568420001857,0
1635234568452561828,0
1635234568486085358,0
1635234568520636079,0
1635234568553376106,0
1635234568586691781,0
1635234568619700639,0
1635234568653841660,0
1635234568686988174,0
1635234568721296508,0
1635234568753986011,0
1635234568788404849,0
1635234568821829342,0
1635234568854980015,0
1635234568889145794,0
1635234568923003070,0
1635234568955312146,0
1635234568988682526,0
1635234569024266894,0
1635234569055662465,0
1635234569090710766,0
1635234569123288332,0
1635234569156052828,0
1635234569190267522,0
1635234569223469961,0
1635234569256738446,0
1635234569290158148,0
1635234569323665587,0
1635234569357227594,0
1635234569391450336,0
1635234569424945559,0
1635234569457811270,0
1635234569491891519,0
1635234569525143273,0
1635234569557976561,0
1635234569591421918,0
1635234569625808006,0
1635234569658501857,0
1635234569692772155,0
1635234569726058449,0
1635234569759115223,0
1635234569793518595,0
1635234569826951494,0
1635234569859700061,0
1635234569894190517,0
1635234569927207912,0
1635234569960223102,0
1635234569994236379,0
1635234570027719919,0
1635234570060295217,0
1635234570093911323,0
1635234570128115207,0
1635234570161136270,0
1635234570194363232,0
1635234570227522359,0
1635234570261636247,0
1635234570294657481,0
1635234570329166681,0
1635234570362135753,0
1635234570396133056,0
1635234570429192385,0
1635234570462462077,0
1635234570495773440,0
1635234570528805357,0
1635234570563224222,0
1635234570597320073,0
1635234570630442591,0
1635234570663373224,0
1635234570697667067,0
1635234570730826145,0
1635234570763790235,0
1635234570798010766,0
1635234570831571201,0
1635234570863941705,0
1635234570898495266,0
1635234570931931527,0
1635234570964356112,0
1635234570998915733,0
1635234571032010097,0
1635234571064728816,0
1635234571099191280,0
1635234571131726135,0
1635234571165439323,0
1635234571198640855,0
1635234571231918948,0
1635234571265768264,0
1635234571300330085,0
1635234571332540153,0
1635234571366081206,0
1635234571400774088,0
1635234571433687072,0
1635234571466611460,0
1635234571500303762,0
1635234571534524296,0
1635234571567282593,0
1635234571601547257,0
1635234571635025785,0
1635234571667539969,0
1635234571702044920,0
1635234571735217173,0
1635234571768165696,0
1635234571802438488,0
1635234571835693976,0
1635234571868691254,0
1635234571903341970,0
1635234571935752086,0
1635234571969024019,0
1635234572003280665,0
1635234572036708977,0
1635234572069729930,0
1635234572113441153,0
1635234572137323935,0
1635234572170227325,0
1635234572204993686,0
1635234572237448349,0
1635234572270589836,0
1635234572305163699,0
1635234572337064524,0
1635234572371026595,0
1635234572405359103,0
1635234572438629638,0
1635234572471526860,0
1635234572507846113,0
1635234572538175960,0
1635234572572016343,0
1635234572606137410,0
1635234572638317743,0
1635234572672426704,0
1635234572708712868,0
1635234572740102183,0
1635234572772774944,0
1635234572807633098,0
1635234572839544933,0
1635234572873464121,0
1635234572907583861,0
1635234572941170782,0
1635234572973872663,0
1635234573008098660,0
1635234573041701174,0
1635234573074477697,0
1635234573108393714,0
1635234573141177477,0
1635234573174744288,0
1635234573208157420,0
1635234573241395715,0
1635234573275259539,0
1635234573308613025,0
1635234573343062522,0
1635234573375808782,0
1635234573409997442,0
1635234573443722071,0
1635234573476315903,0
1635234573510011696,0
1635234573543122925,0
1635234573576769952,0
1635234573609912333,0
1635234573643441886,0
1635234573676931200,0
1635234573713185960,0
1635234573744772143,0
1635234573777571482,0
1635234573812251062,0
1635234573844909342,0
1635234573877698134,0
1635234573912053889,0
1635234573945506157,0
1635234573978385845,0
1635234574011742314,0
1635234574045687161,0
1635234574078787909,0
1635234574112936691,0
1635234574146197207,0
1635234574179367918,0
1635234574213402920,0
1635234574247269469,0
1635234574280063728,0
1635234574313367670,0
1635234574347280457,0
1635234574380133491,0
1635234574414205009,0
1635234574447688890,0
1635234574480648964,0
1635234574514076164,0
1635234574548566353,0
1635234574580792920,0
1635234574615125906,0
1635234574647732615,0
1635234574681546722,0
1635234574714778980,0
1635234574749327498,0
1635234574781713430,0
1635234574816064540,0
1635234574848449029,0
1635234574882466732,0
1635234574921744646,0
1635234574949941078,0
1635234574983366013,0
1635234575019202193,0
1635234575050298270,0
1635234575084100355,0
1635234575116914333,0
1635234575150552491,0
1635234575183350853,0
1635234575217699541,0
1635234575251193712,0
1635234575284050726,0
1635234575318330031,0
1635234575351547204,0
1635234575384356243,0
1635234575419809867,0
1635234575451739236,0
1635234575484832733,0
1635234575518445852,0
1635234575552649283,0
1635234575585383192,0
1635234575619674826,0
1635234575652149018,0
1635234575686169187,0
1635234575720538775,0
1635234575752443495,0
1635234575786235709,0
1635234575820648998,0
1635234575853006798,0
1635234575886917439,0
1635234575921270868,0
1635234575953710282,0
1635234575987686847,0
1635234576021891258,0
1635234576055385373,0
1635234576088038163,0
1635234576122187698,0
1635234576155738496,0
1635234576188716356,0
1635234576222027791,0
1635234576256061107,0
1635234576289036732,0
1635234576323862185,0
1635234576356669334,0
1635234576389236592,0
1635234576423517181,0
1635234576456343767,0
1635234576490445305,0
1635234576523341428,0
1635234576556591229,0
1635234576590497527,0
1635234576624438397,0
1635234576658059772,0
1635234576690836533,0
1635234576725130593,0
1635234576758725329,0
1635234576791105123,0
1635234576824630003,0
1635234576858052333,0
1635234576891618388,0
1635234576925096904,0
1635234576959336368,0
1635234576992068612,0
1635234577026316512,0
1635234577059532490,0
1635234577092641560,0
1635234577126780286,0
1635234577159787151,0
1635234577192880912,0
1635234577227100744,0
1635234577260842610,0
1635234577293451563,0
1635234577327719130,0
1635234577360928753,0
1635234577393903249,0
1635234577427142303,0
1635234577460700889,0
1635234577494600354,0
1635234577528750216,0
1635234577562338348,0
1635234577595282293,0
1635234577628294990,0
1635234577662733853,0
1635234577695460062,0
1635234577728983804,0
1635234577763510752,0
1635234577796008868,0
1635234577829165253,0
1635234577862569620,0
1635234577896627394,0
1635234577930941091,0
1635234577964007396,0
1635234577997373015,0
1635234578030298106,0
1635234578063572200,0
1635234578097812023,0
1635234578130933330,0
1635234578165191294,0
1635234578198018499,0
1635234578232538752,0
1635234578265751442,0
1635234578298330346,0
1635234578333096631,0
1635234578366071689,0
1635234578399261033,0
1635234578432415492,0
1635234578465612882,0
1635234578500224001,0
1635234578532781061,0
1635234578566843155,0
1635234578599946566,0
1635234578633906478,0
1635234578666387416,0
1635234578701478052,0
1635234578734657056,0
1635234578767226761,0
1635234578800581239,0
1635234578834489233,0
1635234578867661192,0
1635234578901590263,0
1635234578936258685,0
1635234578968315980,0
1635234579002103396,0
1635234579036341491,0
1635234579068951951,0
1635234579102611838,0
1635234579137210150,0
1635234579170075042,0
1635234579203431474,0
1635234579236452123,0
1635234579269722204,0
1635234579305672567,0
1635234579337905553,0
1635234579370271924,0
1635234579404097067,0
1635234579437436775,0
1635234579470574802,0
1635234579504739962,0
1635234579537854628,0
1635234579572698892,0
1635234579606083277,0
1635234579638427716,0
1635234579671588101,0
1635234579705835911,0
1635234579738725348,0
1635234579773046705,0
1635234579807796105,0
1635234579839983225,0
1635234579873280325,0
1635234579911564727,0
1635234579939631964,0
1635234579974071606,0
1635234580012628885,0
1635234580039773400,0
1635234580073401100,0
1635234580118213587,0
1635234580141677054,0
1635234580174726991,0
1635234580209927800,0
1635234580241853086,0
1635234580275420180,0
1635234580311193300,0
1635234580342481898,0
1635234580375378381,0
1635234580408045148,0
1635234580442397950,0
1635234580476130091,0
1635234580508928381,0
1635234580543058934,0
1635234580575724808,0
1635234580608972701,0
1635234580642187451,0
1635234580676844077,0
1635234580714959258,0
1635234580743693869,0
1635234580777112068,0
1635234580816863738,0
1635234580844632288,0
1635234580877609815,0
1635234580912196608,0
1635234580944658394,0
1635234580978652857,0
1635234581011358559,0
1635234581045076440,0
1635234581078693507,0
1635234581115031273,0
1635234581145900419,0
1635234581179536809,0
1635234581213097408,0
1635234581245143229,0
1635234581278479636,0
1635234581312416870,0
1635234581346660055,0
1635234581380202009,0
1635234581412817329,0
1635234581446136644,0
1635234581480606457,0
1635234581513243184,0
1635234581546463851,0
1635234581579690978,0
1635234581613936465,0
1635234581648062321,0
1635234581681802091,0
1635234581716362909,0
1635234581747669870,0
1635234581781326928,0
1635234581814913322,0
1635234581849009653,0
1635234581882375420,0
1635234581915403873,0
1635234581948690114,0
1635234581983287253,0
1635234582015698524,0
1635234582050095488,0
1635234582082339174,0
1635234582116194457,0
1635234582150577993,0
1635234582183551640,0
1635234582216410707,0
1635234582250015498,0
1635234582284082030,0
1635234582316976887,0
1635234582350469765,0
1635234582383576015,0
1635234582417316713,0
1635234582450791941,0
1635234582484872221,0
1635234582517923055,0
1635234582551447054,0
1635234582585321765,0
1635234582618287737,0
1635234582652639138,0
1635234582685996047,0
1635234582718738612,0
1635234582752946674,0
1635234582786634045,0
1635234582819169958,0
1635234582853472379,0
1635234582886697099,0
1635234582919827072,0
1635234582952995748,0
1635234582987264398,0
1635234583020901185,0
1635234583054314819,0
1635234583087521277,0
1635234583120651151,0
1635234583154673492,0
1635234583188454255,0
1635234583221003592,0
1635234583255261611,0
1635234583288809533,0
1635234583321311569,0
1635234583355138869,0
1635234583388098403,0
1635234583421975844,0
1635234583456583553,0
1635234583490183127,0
1635234583522373335,0
1635234583557052032,0
1635234583590502673,0
1635234583622903996,0
1635234583657202127,0
1635234583690732977,0
1635234583723549815,0
1635234583757671233,0
1635234583790240364,0
1635234583824023682,0
1635234583857066218,0
1635234583890225034,0
1635234583923983362,0
1635234583958503154,0
1635234583991629559,0
1635234584024153352,0
1635234584057963684,0
1635234584092213993,0
1635234584125045812,0
1635234584159353776,0
1635234584192524384,0
1635234584225190847,0
1635234584258825806,0
1635234584292013554,0
1635234584325823615,0
1635234584360503459,0
1635234584392584498,0
1635234584426232190,0
1635234584460780531,0
1635234584493778899,0
1635234584526443784,0
1635234584560017299,0
1635234584594355678,0
1635234584627018015,0
1635234584661700039,0
1635234584694171935,0
1635234584727603964,0
1635234584761845489,0
1635234584794553474,0
1635234584828182168,0
1635234584861498945,0
1635234584895058939,0
1635234584928807007,0
1635234584963333322,0
1635234584995482183,0
1635234585028973633,0
1635234585063719756,0
1635234585096661134,0
1635234585129460380,0
1635234585163978182,0
1635234585197049817,0
1635234585230066470,0
1635234585264243639,0
1635234585297875471,0
1635234585330460400,0
1635234585364624230,0
1635234585398180332,0
1635234585430890418,0
1635234585465188043,0
